GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WaterBill-hochul,com.nhnacademy.springboot.hochul.aspect,LoggerAspect,41,0,0,0,12,0,4,0,4,0
WaterBill-hochul,com.nhnacademy.springboot.hochul.print,PrintCalculation,0,22,0,2,0,5,0,4,0,3
WaterBill-hochul,com.nhnacademy.springboot.hochul,Main,41,0,0,0,8,0,2,0,2,0
WaterBill-hochul,com.nhnacademy.springboot.hochul.repository,WaterBill,0,64,0,0,0,19,0,7,0,7
WaterBill-hochul,com.nhnacademy.springboot.hochul.repository,Sorted,2,19,1,3,1,3,1,3,0,2
WaterBill-hochul,com.nhnacademy.springboot.hochul.config,MainConfiguration,3,0,0,0,1,0,1,0,1,0
WaterBill-hochul,com.nhnacademy.springboot.hochul.parser,ParseCsvWaterBill,5,99,0,4,0,27,0,10,0,8
WaterBill-hochul,com.nhnacademy.springboot.hochul.parser,ParseJsonWaterBill,4,91,0,2,0,25,0,9,0,8
WaterBill-hochul,com.nhnacademy.springboot.hochul.parser,ParseJsonWaterBill.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
WaterBill-hochul,com.nhnacademy.springboot.hochul.parser,ParseExtensionWaterBill,10,58,4,6,1,16,5,7,1,6
WaterBill-hochul,com.nhnacademy.springboot.hochul.service,WaterBillService,0,50,0,4,0,11,0,5,0,3
